"_id","Date","Description","Deposits","Withdrawls","Balance"
"62695b3bf0cccaf060f178de","20-Aug-2020","ATM",0,"575,583.00",0
"62695b3bf0cccaf060f178e3","20-Aug-2020","ATM","739,105.00",0,"2,586,287.50"
"62695b3bf0cccaf060f17915","21-Aug-2020","ATM",0,"19,958.74","139,711.18"
"62695b3bf0cccaf060f17932","21-Aug-2020","ATM",0,"9,614.03","57,684.20"
"62695b3bf0cccaf060f17937","21-Aug-2020","ATM",208.61,0,"36,298.86"
"62695b3bf0cccaf060f179a7","24-Aug-2020","ATM",0,"181,857.10","181,857.10"
"62695b3bf0cccaf060f179c9","26-Aug-2020","ATM",0,"25,846.41","25,846.41"
"62695b3bf0cccaf060f179e3","26-Aug-2020","ATM","1,955.00",0,"1,955.65"
"62695b3bf0cccaf060f17a12","27-Aug-2020","ATM",0,"5,957.40","41,701.80"
"62695b3bf0cccaf060f17a14","27-Aug-2020","ATM","15,816.30",0,"47,659.20"
"62695b3bf0cccaf060f17a36","27-Aug-2020","ATM","3,746.00",0,"4,051.90"
"62695b3bf0cccaf060f17a4f","27-Aug-2020","ATM",39.15,0,256.93
"62695b3bf0cccaf060f17a66","27-Aug-2020","ATM","118,041.00",0,"142,716.85"
"62695b3bf0cccaf060f17a8d","27-Aug-2020","ATM","1,353,039.00",0,"2,437,636.20"
"62695b3bf0cccaf060f17a9d","27-Aug-2020","ATM",5.2,0,"1,013,705.88"
"62695b3bf0cccaf060f17a9e","27-Aug-2020","ATM",5.4,0,"1,013,711.28"
"62695b3bf0cccaf060f17ab0","28-Aug-2020","ATM","288,208.00",0,"1,459,899.79"
"62695b3bf0cccaf060f17abf","28-Aug-2020","ATM",4,0,"1,120,467.03"
"62695b3bf0cccaf060f17ac7","28-Aug-2020","ATM",0,"122,209.60","855,467.20"
"62695b3bf0cccaf060f17ae1","29-Aug-2020","ATM",0,"45,890.81","367,126.44"
"62695b3bf0cccaf060f17b0f","31-Aug-2020","ATM",0,"58,655.58","410,589.08"
"62695b3bf0cccaf060f17b11","31-Aug-2020","ATM",0,"410,589.08",0
"62695b3bf0cccaf060f17b1d","01-Sep-2020","ATM",15,0,"1,124,544.12"
"62695b3bf0cccaf060f17b21","02-Sep-2020","ATM",0,"83,539.98","584,779.87"
"62695b3bf0cccaf060f17b34","02-Sep-2020","ATM",0,"31,352.54","219,467.76"
"62695b3bf0cccaf060f17b38","02-Sep-2020","ATM",479,0,"237,706.36"
"62695b3bf0cccaf060f17b3c","02-Sep-2020","ATM",0,"22,685.32","204,167.84"
"62695b3bf0cccaf060f17b51","03-Sep-2020","ATM","7,267.66",0,"752,677.88"
"62695b3bf0cccaf060f17b54","03-Sep-2020","ATM",134,0,"2,793,144.38"
"62695b3bf0cccaf060f17b56","03-Sep-2020","ATM",0,"934,518.90","1,869,037.81"
"62695b3bf0cccaf060f17b6a","04-Sep-2020","ATM","1,810,525.00",0,"2,456,408.03"
"62695b3bf0cccaf060f17b9c","07-Sep-2020","ATM",0,"128,109.65","512,438.62"
"62695b3bf0cccaf060f17bb8","08-Sep-2020","ATM",5.7,0,"926,398.15"
"62695b3bf0cccaf060f17bdf","12-Sep-2020","ATM",0,"307,859.28","923,577.83"
"62695b3bf0cccaf060f17be6","12-Sep-2020","ATM",2.84,0,"466,348.77"
"62695b3bf0cccaf060f17bef","13-Sep-2020","ATM","1,592,296.50",0,"1,694,043.40"
"62695b3bf0cccaf060f17bf1","14-Sep-2020","ATM",0,"189,534.60","1,516,276.83"
"62695b3bf0cccaf060f17bf5","14-Sep-2020","ATM",0,"116,198.80","929,590.37"
"62695b3bf0cccaf060f17bf6","14-Sep-2020","ATM",0,"154,931.73","774,658.64"
"62695b3bf0cccaf060f17bfc","14-Sep-2020","ATM","2,011,523.00",0,"2,011,523.00"
"62695b3bf0cccaf060f17bfd","14-Sep-2020","ATM",0,"936,394.77",0
"62695b3bf0cccaf060f17c06","15-Sep-2020","ATM",0,"218,195.03","218,195.03"
"62695b3bf0cccaf060f17c23","17-Sep-2020","ATM","715,719.00",0,"872,970.45"
"62695b3bf0cccaf060f17c37","17-Sep-2020","ATM",0,"1,820,210.63",0
"62695b3bf0cccaf060f17c41","17-Sep-2020","ATM",0,"1,710.32","11,972.27"
"62695b3bf0cccaf060f17c53","20-Sep-2020","ATM",0,"28,595.03","57,190.05"
"62695b3bf0cccaf060f17c5a","20-Sep-2020","ATM","76,524.00",0,"99,456.36"
"62695b3bf0cccaf060f17c70","20-Sep-2020","ATM",0,"17,392.10","17,392.10"
"62695b3bf0cccaf060f17c7f","20-Sep-2020","ATM",0,"165,537.53","1,158,762.69"
"62695b3bf0cccaf060f17c9f","22-Sep-2020","ATM","2,080,047.00",0,"2,080,047.80"
"62695b3bf0cccaf060f17cbc","23-Sep-2020","ATM",0,"121,137.08","242,274.15"
"62695b3cf0cccaf060f17cfd","27-Sep-2020","ATM","184,328.40",0,"1,044,690.57"
"62695b3cf0cccaf060f17d20","27-Sep-2020","ATM",0,"6,446.95","25,787.78"
"62695b3cf0cccaf060f17d2c","28-Sep-2020","ATM",0,"651,729.61","1,955,188.82"
"62695b3cf0cccaf060f17d48","29-Sep-2020","ATM","30,827.81",0,"30,827.81"
"62695b3cf0cccaf060f17d51","29-Sep-2020","ATM",2.7,0,"16,368.71"
"62695b3cf0cccaf060f17d52","29-Sep-2020","ATM",0,"2,728.12","13,640.59"
"62695b3cf0cccaf060f17d5f","29-Sep-2020","ATM","17,059.45",0,"2,191,261.66"
"62695b3cf0cccaf060f17da8","29-Sep-2020","ATM",0,"2,689.83","16,138.99"
"62695b3cf0cccaf060f17dc2","29-Sep-2020","ATM","2,027,135.00",0,"2,027,135.00"
"62695b3cf0cccaf060f17ddc","29-Sep-2020","ATM",0,"294,294.85","1,765,769.12"
"62695b3cf0cccaf060f17ded","29-Sep-2020","ATM",0,"171,911.96","515,735.87"
"62695b3cf0cccaf060f17df2","30-Sep-2020","ATM",0,"172,078.62","344,157.25"
"62695b3cf0cccaf060f17dff","01-Oct-2020","ATM","1,712,788.50",0,"4,006,671.00"
"62695b3cf0cccaf060f17e05","02-Oct-2020","ATM",0,"7,273.87","14,547.75"
"62695b3cf0cccaf060f17e19","02-Oct-2020","ATM","157,870.00",0,"884,811.59"
"62695b3cf0cccaf060f17e21","03-Oct-2020","ATM",200,0,"567,174.63"
"62695b3cf0cccaf060f17e32","05-Oct-2020","ATM",0,"5,642.17","5,642.17"
"62695b3cf0cccaf060f17e43","06-Oct-2020","ATM",0,"1,107,248.81","2,214,497.63"
"62695b3cf0cccaf060f17e5a","08-Oct-2020","ATM",0,"42,801.77","256,810.61"
"62695b3cf0cccaf060f17e60","08-Oct-2020","ATM",0,"66,294.39","66,294.38"
"62695b3cf0cccaf060f17e66","08-Oct-2020","ATM",0,"4,942.41","19,769.65"
"62695b3cf0cccaf060f17e6f","08-Oct-2020","ATM",0,"1,320,052.40",0
"62695b3cf0cccaf060f17e85","10-Oct-2020","ATM",7.18,0,"4,453.44"
"62695b3cf0cccaf060f17e93","10-Oct-2020","ATM",28.8,0,"1,050,789.88"
"62695b3cf0cccaf060f17eaa","10-Oct-2020","ATM",196.8,0,"369,999.54"
"62695b3cf0cccaf060f17ebf","12-Oct-2020","ATM",0,"227,488.46","1,592,419.24"
"62695b3cf0cccaf060f17ec6","12-Oct-2020","ATM",0,"154,423.31","772,116.52"
"62695b3cf0cccaf060f17eca","12-Oct-2020","ATM",0,1.96,7.84
"62695b3cf0cccaf060f17ee3","14-Oct-2020","ATM","69,482.94",0,"69,482.94"
"62695b3cf0cccaf060f17f04","17-Oct-2020","ATM","1,765,999.25",0,"2,749,527.58"
"62695b3cf0cccaf060f17f0e","18-Oct-2020","ATM",0,"29,187.73","58,375.47"
"62695b3cf0cccaf060f17f45","19-Oct-2020","ATM","2,971.58",0,"719,342.78"
"62695b3cf0cccaf060f17f66","20-Oct-2020","ATM",0,"147,132.97","588,531.90"
"62695b3cf0cccaf060f17f84","21-Oct-2020","ATM",475.12,0,"1,776,555.60"
"62695b3cf0cccaf060f17f85","21-Oct-2020","ATM","33,473.94",0,"850,177.28"
"62695b3cf0cccaf060f17fa9","25-Oct-2020","ATM",0,"910,776.75",0
"62695b3cf0cccaf060f17fb1","26-Oct-2020","ATM","149,938.00",0,"166,567.08"
"62695b3cf0cccaf060f17fb6","26-Oct-2020","ATM",0,"11,574.65","104,171.83"
"62695b3cf0cccaf060f17fc8","26-Oct-2020","ATM",0,"2,228.28","4,456.56"
"62695b3cf0cccaf060f17fd2","26-Oct-2020","ATM","1,635,429.75",0,"1,643,213.98"
"62695b3cf0cccaf060f17ff5","26-Oct-2020","ATM",320.43,0,"135,440.80"
"62695b3cf0cccaf060f17ff8","26-Oct-2020","ATM",0,"19,751.78","98,758.92"
"62695b3cf0cccaf060f18010","27-Oct-2020","ATM",0,"1,108,353.74","1,108,353.74"
"62695b3cf0cccaf060f18015","27-Oct-2020","ATM",0,"192,378.54","192,378.54"
"62695b3cf0cccaf060f1803a","27-Oct-2020","ATM","816,948.00",0,"816,948.00"
"62695b3cf0cccaf060f1803b","27-Oct-2020","ATM",0,"68,079.00","340,395.00"
"62695b3cf0cccaf060f1807c","28-Oct-2020","ATM","238,717.20",0,"238,779.20"
"62695b3cf0cccaf060f18096","29-Oct-2020","ATM","999,784.75",0,"999,784.75"
"62695b3cf0cccaf060f1809b","29-Oct-2020","ATM",0,"123,056.23","861,393.63"
"62695b3cf0cccaf060f180a4","29-Oct-2020","ATM",0,"41,869.09","125,607.27"
"62695b3cf0cccaf060f180ac","29-Oct-2020","ATM",485,0,"1,378.54"
"62695b3cf0cccaf060f180af","29-Oct-2020","ATM",0,496.28,496.28
"62695b3cf0cccaf060f180c5","29-Oct-2020","ATM","30,270.00",0,"546,031.31"
